"","UI","UI.glmm","UI.GLM","AI","AI.glmm","AI.GLM","mixed.sd"
"ENSG00000178502",-0.178018742529096,-0.178018611955945,-0.178018624280813,-0.326924923051041,-0.32692483091884,-0.326924833876926,0
"ENSG00000178537",0.546216739404607,0.546216903185992,0.546216902973066,1.28413862714876,1.28413881719562,1.2841388169943,0
"ENSG00000178538",-0.314347338987317,-0.314347218226927,-0.314347259637045,0.789533845786086,0.789533982484647,0.789533970898436,2.78688524590163e-08
"ENSG00000178562",-0.00525178256101425,0.00637697252071447,-0.00525205784391275,-2.11825698440644,-2.14708664349484,-2.11825770377766,0.198191936998294
"ENSG00000178567",0.100518123976569,0.100518164802422,0.100518164792032,-0.30706532750489,-0.307065292690083,-0.307065292701714,0
"ENSG00000178568",-6.39361446670261,-6.0309589097202,-6.39448210453325,-6.14755620406951,-5.30783816052003,-12.1665763085381,0.548272567571828
"ENSG00000178573",0.495251803613845,0.530138435899503,0.495251845181641,-1.05673359480201,-1.042556632915,-1.05673364192462,0.0866984247215268
"ENSG00000178585",0.330679655825147,0.330679789973717,0.330679794877833,0.317376385135891,0.317376521292972,0.317376522103157,0
"ENSG00000178597",0.763018776451685,0.763019082810405,0.763019037772795,NA,-0.747938637271467,-0.747938652757877,0
"ENSG00000178605",-0.0533295290649351,-0.0364693194305946,-0.0533294340925243,-0.373403205642678,-0.372702667006142,-0.37340312191011,0.0999637675806677
"ENSG00000178607",-0.0483272956332441,-0.0466576344195663,-0.048327220092885,-0.271834563918087,-0.270611414378777,-0.271834496960993,0.0329955579019435
"ENSG00000178623",0.10039341329061,0.112650612662881,0.100393511192232,-0.0542405299149817,-0.0451118662324799,-0.0542404310398524,0.0658788149395538
"ENSG00000178631",-0.565910155896993,-0.565910227092723,-0.56591034342173,0.0678376402121847,0.0678377077212569,0.0678377225355691,0
"ENSG00000178636",-0.0512230113201542,-0.0512228028984042,-0.0512227995811648,-0.123867682212292,-0.123867239408774,-0.123867238497337,0
"ENSG00000178645",0.182563920947944,0.182564122662418,0.182564116704311,0.369363914480316,0.3693622464527,0.369364206778094,0
"ENSG00000178662",-1.13639624028821,-1.1538414990652,-1.13639639823203,-0.259219141432119,-0.295208423515675,-0.259219136120093,0.170045361104679
"ENSG00000178665",0.115253905212291,0.120480717981014,0.115254077443384,0.21036262848743,0.210165191863479,0.210362773514215,0.0968686296215585
"ENSG00000178685",-0.191104793968793,-0.191104767137484,-0.191104767130037,-0.529146385744868,-0.529146368256788,-0.529146368344279,0
"ENSG00000178690",0.275778410198795,0.275778496889243,0.275778497440156,0.283633425675082,0.283633526136601,0.28363352532009,0
"ENSG00000178691",-0.105258124829649,-0.105258083577708,-0.105258083526049,-0.0342841025036156,-0.0342840596612596,-0.0342840603042819,0
"ENSG00000178694",0.241013777036056,0.241013867668704,0.241013868749375,0.0160751789273993,0.0160752694960902,0.0160752694459272,2.98245614035084e-08
"ENSG00000178695",0.0738516399484469,0.0738517071340398,0.0738517067418284,-0.536059586487322,-0.536059545689534,-0.53605954559458,0
"ENSG00000178700",0.160073444193704,0.160073602182938,0.160073602878595,0.50598438631351,0.505984560810335,0.505984560123989,0
"ENSG00000178718",-0.466047747325922,-0.478123419849223,-0.466047631307591,0.313490689106076,0.30617215587155,0.313490828494467,0.0854907609503239
"ENSG00000178719",0.115197766473067,0.097610619175567,0.115197805414745,-1.10254304616099,-1.08842346731855,-1.10254305278697,0.0996747039386909
"ENSG00000178722",-0.365342312839592,-0.365342439816936,-0.365342440005539,-1.0838391707839,-1.08383938824269,-1.08383938587933,0
"ENSG00000178726",-0.331064993142795,-0.27025202016555,-0.331065123262956,-0.201572215034392,-0.263721334955733,-0.201572131051276,0.179615490939089
"ENSG00000178732",NA,0,0,NA,0,0,0
"ENSG00000178741",-0.0505982185698257,-0.0505981179652622,-0.0505981179635815,0.44858813114866,0.448588243735162,0.44858824375814,2.58513931888537e-07
"ENSG00000178752",0.661936136089835,0.665731688236824,0.661935777111651,-0.468545140269722,-0.622486321784185,-0.468545778523628,0.283325858927189
"ENSG00000178761",-0.730514226704958,-0.74306695541711,-0.730513737697738,0.379290100604509,0.225298621537622,0.379290770083372,0.284056284234725
"ENSG00000178764",0.014485052352401,0.0254133041225052,0.0144851078456178,-0.751082533552705,-0.737349399585491,-0.751082503833918,0.107716900154704
"ENSG00000178772",0.517878023386889,0.517876165936404,0.517876018924983,0.10860461416707,0.108604256356187,0.10860419071396,2.14285714285706e-08
"ENSG00000178773",1.18302134743629,1.18302179380132,1.18302179573666,-0.352517746251175,-0.352517530175801,-0.352517528101404,1e-07
"ENSG00000178789",1.29529558075388,1.29529606385484,1.29529616553321,0.989702138135155,0.989701765940465,0.989702729457955,0
"ENSG00000178795",0.340347974025009,0.345836853662937,0.340348095848099,-0.713584719734282,-0.720021630697695,-0.713584844627293,0.17448771930574
"ENSG00000178796",NA,0,0,NA,0,0,0
"ENSG00000178802",0.414168463741654,0.414168594733033,0.414168594698264,0.380925443284346,0.380925577660448,0.380925577691914,0
"ENSG00000178803",0.576754316867518,0.672582243546395,0.576754526726889,-0.614887555011307,-0.594985564884942,-0.614887371857164,0.233740573181801
"ENSG00000178809",-0.15769756576197,-0.157697464032628,-0.157697454756454,-0.404359848238807,-0.40435969991065,-0.40435972548677,0
"ENSG00000178814",0.189805962118453,0.178703643259133,0.189806161394114,0.944315218515283,0.934932414318916,0.94431546167326,0.0777001800043935
"ENSG00000178821",0.28386430328134,0.283864318727561,0.28386447553036,-0.432982559933612,-0.432982128858038,-0.43298241964774,0
"ENSG00000178826",0.311033516215689,0.311033703999808,0.31103370346124,0.602939041748798,0.602939244371501,0.602939244861237,1.34782608695627e-07
"ENSG00000178828",-1.16836051125722,-1.15670807627029,-1.16836044557608,0.159106537765539,0.166028489648993,0.159106668038585,0.167355955738698
"ENSG00000178836",-0.0272297985506776,-0.0272274538781917,-0.027227680328105,NA,1.36866760834154,1.36866867559828,0
"ENSG00000178852",0.387058075331359,0.423887578673545,0.387058336002377,0.17522673883559,0.225802956357319,0.175227007293884,0.144389779049114
"ENSG00000178860",-0.163441896138834,-0.110764292091533,-0.163442460077548,-1.03881003844827,-1.12975949316675,-1.03881028165,0.209943285267919
"ENSG00000178878",-1.06457947385048,-1.10264245611288,-1.0645797641682,-0.298615870382331,-0.404860410017376,-0.298616072810755,0.307426975878976
"ENSG00000178882",-0.21905931868431,-0.219059076200532,-0.219059091474071,0.76639585878652,0.766396133463007,0.766396137335944,1.99181073214095e-06
"ENSG00000178896",0.0639076435801756,0.0639076944509213,0.0639076946084574,0.195310545013115,0.195310610662159,0.195310610694014,0
"ENSG00000178904",0.0573011493356329,0.0573012109208378,0.0573012110128,0.141577648018077,0.141577711573112,0.141577711302279,1.99999999999977e-08
"ENSG00000178913",-0.0765902247536253,-0.0766956771225585,-0.0765900760469533,-0.0255474622606349,-0.0258322578868561,-0.0255472862866713,0.0114814371953355
"ENSG00000178917",0.00474658039093817,0.00474664987250992,0.0047466526741729,0.129017599237206,0.129017681898805,0.129017681444747,0
"ENSG00000178921",0.123266785490211,0.123266907904244,0.123266907651713,0.204389301722487,0.204389424302016,0.204389424447832,0
"ENSG00000178922",0.157595564097865,0.152332457216026,0.157595680903801,0.106387038275789,0.112753910614055,0.106387156706707,0.0914465373224378
"ENSG00000178927",-0.356403303344146,-0.356612196214597,-0.356403281914564,-0.913764500689876,-0.914388171240366,-0.913764489642635,0.0239590570296364
"ENSG00000178928",-0.339808388035401,-0.339808576027408,-0.339808597977048,NA,0.167997615030915,0.167997553152681,2.30769230769236e-08
"ENSG00000178935",-0.30242684300023,-0.302426773812428,-0.302426774545724,-0.346631938784277,-0.34663187043969,-0.346631870428011,0
"ENSG00000178947",-0.553764934942132,-0.553764948264287,-0.553764877462354,-0.973192867447303,-0.973193159980634,-0.973193026125815,0
"ENSG00000178950",0.0236713281966323,0.0236713890640941,0.0236713890652444,-0.064766108996591,-0.0647660481875144,-0.0647660481875877,0
"ENSG00000178951",-0.00796550275634377,-0.00796543887303027,-0.00796543887374276,0.0864333526018462,0.0864334186251267,0.0864334186252144,0
"ENSG00000178952",0.0373790326796079,0.0373791785231006,0.03737917844207,0.731927304445809,0.731927470391558,0.731927470192974,0
"ENSG00000178965",0.534750989072295,0.53475014673595,0.534750390000848,NA,-0.540137690286507,-0.540137446499208,1.75934770836085e-08
"ENSG00000178966",-0.379133833710455,-0.379133727307894,-0.379133725884354,0.280104528374457,0.280104648067151,0.280104649034164,0
"ENSG00000178971",0.0809487466320604,0.0809487956802842,0.0809487956733714,-0.312696615741896,-0.312696572854737,-0.312696572873316,4e-07
"ENSG00000178974",-0.301823583928556,-0.301823457004443,-0.301823457106843,0.188114147021689,0.188114298202124,0.188114293276354,2e-07
"ENSG00000178977",0.502979318201599,0.502979438330355,0.502979438715883,0.0188324397325171,0.0188325236315347,0.0188325209396124,6.87361419068766e-09
"ENSG00000178980",0.167708899257839,0.164647955985005,0.167708988744193,0.57181163289249,0.569091586213658,0.57181173064008,0.0382953229013566
"ENSG00000178982",-0.0328856951793458,-0.0328856391173361,-0.0328856391189791,0.38621412133293,0.386214184259957,0.386214184264134,2e-07
"ENSG00000178988",-0.112294246879384,-0.11229418026836,-0.112294180483271,0.174602129478437,0.174602203243199,0.174602202075794,0
"ENSG00000178996",0.221485989363229,0.221486063839532,0.221486063624263,-0.229673313272637,-0.229673254667277,-0.229673254651765,0
