"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"17",2.8077731246137e-13,2.80438278173803e-13,2.77490008535654e-13,2.79040677378969e-13,2.78534358344344e-13,2.80366015993108e-13,2.78071212485409e-13,2.8105583528097e-13,2.7723936582568e-13,2.80106665700825e-13,2.79719008737683e-13,2.8081407754158e-13,2.80435122283075e-13,2.79538736885183e-13,2.80815854258139e-13
"18",1.29837409380052e-12,1.29670142541184e-12,1.28207904908473e-12,1.28743480559956e-12,1.28492276045932e-12,1.29580704150315e-12,1.28801878543525e-12,1.30022338083967e-12,1.28262609313314e-12,1.2917043743643e-12,1.28907353071626e-12,1.29854503851158e-12,1.29380787212607e-12,1.29032043583858e-12,1.30119699783388e-12
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0.0509444263192222,0.0502470521773703,0.0503037634324807,0.0507034518611279,0.0506727763283855,0.050889160537852,0.0497882800068244,0.0509885185898372,0.050465516649948,0.0498800857864031,0.0497912624485077,0.0509457567903016,0.0501191205228923,0.0507574680281805,0.0502379593940838
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0.0769608263812797,0.0762859715881314,0.077522263333056,0.0763351629852019,0.0759630144825952,0.0768039221108574,0.0752512983945575,0.0770347681320657,0.0763418587725771,0.0769401417001319,0.0768423713376838,0.0769923416677791,0.0771689824024524,0.0765873743687699,0.0774724313516795
"23",0.0482147374581739,0.0482123946801018,0.0479849142494962,0.0480820138511434,0.0480569181566536,0.0481840031589491,0.0481584108685435,0.048237876436376,0.0480228148868872,0.0481275049139273,0.0480941979611709,0.0482162082918357,0.0481493896356986,0.0481148149595927,0.0482464194940672
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.0599141055530561,0.0599243952971258,0.0599031280418376,0.0599072841818925,0.0599072046141152,0.0599125817352322,0.0599187902982464,0.0599154577901134,0.0599100478020989,0.0599169188816202,0.0599152081670881,0.0599140670037931,0.0599152636726154,0.0599085089649638,0.059925323293349
"26",0.0146637819849868,0.0146300361594421,0.0150609241405054,0.0143186461367222,0.0141372083658499,0.0145766627090867,0.0144479137828735,0.0147073962345309,0.0144266818416029,0.0150387229681795,0.0149909580058906,0.0146801814269258,0.0150714042338805,0.0144505808082663,0.0153329912415688
